expense_id,title,amount,label,comments,expense_date,type,category,expense_number,status
1,Coffee Supplies,325.47,WORKPLACE_SUPPLIES,Desk accessories for employee comfort,2025-06-13,divers,Office_Supplies,EXP202500001,paid
2,Audit Services,2442.76,COMPLIANCE_AUDIT,Legal advice on client and supplier contracts,2024-09-08,quarterly,Legal_Compliance,EXP202400002,paid
3,Salesforce License,5624.59,TECH_PLATFORM,Database system for clients and projects,2024-10-11,quarterly,Software_Licenses,EXP202400003,paid
4,Audit Services,5132.21,COMPLIANCE_PROGRAM,Legal advice on client and supplier contracts,2025-05-19,annual,Legal_Compliance,EXP202500004,paid
5,Office Heating,587.74,FACILITY_COSTS,High-speed professional internet subscription,2024-09-10,monthly,Utilities,EXP202400005,paid
6,Desk Accessories,679.53,OFFICE_MATERIALS,Stationery and office supplies,2024-12-11,divers,Office_Supplies,EXP202400006,paid
7,Windows Server License,6581.11,SOFTWARE_SUITE,Analysis and reporting tools for executives,2024-12-03,annual,Software_Licenses,EXP202400007,paid
8,Laptop Purchase,4026.51,OFFICE_HARDWARE,High-resolution monitors for workstations,2025-03-27,divers,Equipment,EXP202500008,paid
9,Content Creation,2101.66,CAMPAIGN_COSTS,Corporate and e-commerce website development,2024-12-12,quarterly,Marketing,EXP202400009,paid
10,Banking Service,888.52,FINANCIAL_SERVICES,Currency exchange fees for export operations,2025-04-30,monthly,Banking_Fees,EXP202500010,paid
11,Zoom Pro,705.91,SAAS_PLATFORM,User licenses to improve productivity,2025-05-19,monthly,Subscriptions,EXP202500011,paid
12,International Transfer,905.22,BANK_CHARGES,Monthly account maintenance fee,2024-08-03,monthly,Banking_Fees,EXP202400012,unpaid
13,Professional Liability,9122.28,BUSINESS_INSURANCE,Legal protection for commercial disputes,2024-11-14,annual,Insurance,EXP202400013,paid
14,Phone Service,748.21,UTILITIES_OFFICE,Monthly electricity bill for Casablanca office,2025-06-03,monthly,Utilities,EXP202500014,paid
15,Office Insurance,8734.89,BUSINESS_INSURANCE,Professional liability insurance,2024-08-16,annual,Insurance,EXP202400015,paid
16,AWS Hosting,1936.33,PLATFORM_SERVICES,Cloud computing for product development,2025-07-09,monthly,Cloud_Services,EXP202500016,paid
17,Internet Service,702.77,FACILITY_COSTS,Monthly electricity bill for Casablanca office,2025-06-03,monthly,Utilities,EXP202500017,paid
18,Holiday Celebration,737.56,CORPORATE_EVENT,Team-building activity to improve cohesion,2024-09-22,divers,Entertainment,EXP202400018,paid
19,Adobe Creative Suite,658.34,SAAS_PLATFORM,Video communication tool for client meetings,2025-02-07,monthly,Subscriptions,EXP202500019,paid
20,Professional Liability,4242.96,BUSINESS_INSURANCE,Legal protection for commercial disputes,2024-10-31,annual,Insurance,EXP202400020,paid
21,Salesforce License,1268.45,TECH_PLATFORM,Analysis and reporting tools for executives,2025-07-07,quarterly,Software_Licenses,EXP202500021,paid
22,Business Trip,3411.25,PROFESSIONAL_TRIP,Client site visit for project support,2024-07-26,divers,Travel,EXP202400022,paid
23,Transaction Fees,905.04,TRANSACTION_FEES,Corporate credit card services for exec team,2024-12-28,monthly,Banking_Fees,EXP202400023,paid
24,Internet Service,897.28,FACILITY_COSTS,Heating and air conditioning charges for office,2024-08-09,monthly,Utilities,EXP202400024,paid
25,IT Support,1695.79,MAINTENANCE_CONTRACT,Preventive maintenance of servers and infrastructure,2025-01-15,divers,Maintenance,EXP202500025,paid
26,Adobe Creative Suite,178.42,DIGITAL_TOOLS,Collaborative platform subscription for remote teams,2024-10-07,monthly,Subscriptions,EXP202400026,paid
27,Microsoft 365,204.52,DIGITAL_TOOLS,Collaborative platform subscription for remote teams,2025-03-25,monthly,Subscriptions,EXP202500027,paid
28,Flight Tickets,3052.89,CONFERENCE_TRAVEL,Business trip for new market development,2025-01-02,divers,Travel,EXP202500028,paid
29,Oracle Database,11151.4,ENTERPRISE_LICENSE,Server license for IT infrastructure,2025-02-23,annual,Software_Licenses,EXP202500029,paid
30,International Transfer,654.34,FINANCIAL_SERVICES,Currency exchange fees for export operations,2024-12-11,monthly,Banking_Fees,EXP202400030,paid
31,Water Bill,831.68,UTILITIES_OFFICE,Monthly electricity bill for Casablanca office,2025-01-10,monthly,Utilities,EXP202500031,unpaid
32,Salesforce License,3089.88,TECH_PLATFORM,Analysis and reporting tools for executives,2025-01-01,quarterly,Software_Licenses,EXP202500032,unpaid
33,Salesforce License,4007.67,BUSINESS_SOFTWARE,Analysis and reporting tools for executives,2025-04-24,quarterly,Software_Licenses,EXP202500033,paid
34,Compliance Review,1507.6,REGULATORY_REVIEW,Regulatory support for IT sector,2025-06-11,quarterly,Legal_Compliance,EXP202500034,paid
35,GDPR Compliance,10531.16,LEGAL_CONSULTATION,Corporate status and governance review,2024-10-31,annual,Legal_Compliance,EXP202400035,paid
36,International Transfer,589.76,TRANSACTION_FEES,Monthly account maintenance fee,2024-10-04,monthly,Banking_Fees,EXP202400036,paid
37,Laptop Purchase,6081.65,INFRASTRUCTURE_INVESTMENT,Ergonomic furniture for employee well-being,2025-05-09,annual,Equipment,EXP202500037,paid
38,ATS Software,170.37,HR_SOFTWARE,Integrated HR system for payroll and leave,2025-05-01,monthly,HR_Tools,EXP202500038,paid
39,Laptop Purchase,3358.14,OFFICE_HARDWARE,Networking equipment for infrastructure security,2024-09-02,divers,Equipment,EXP202400039,paid
40,Transaction Fees,793.6,FINANCIAL_SERVICES,Corporate credit card services for exec team,2025-04-26,monthly,Banking_Fees,EXP202500040,paid
41,Coffee Supplies,167.29,BUSINESS_SUPPLIES,Desk accessories for employee comfort,2025-06-24,divers,Office_Supplies,EXP202500041,paid
42,LinkedIn Recruiter,120.4,EMPLOYEE_PLATFORM,Integrated HR system for payroll and leave,2024-10-28,monthly,HR_Tools,EXP202400042,paid
43,Skill Development,2516.06,PROFESSIONAL_TRAINING,Technical certification for IT team,2024-10-13,quarterly,Training,EXP202400043,paid
44,Audit Services,3879.39,REGULATORY_REVIEW,Legal advice on client and supplier contracts,2024-11-21,quarterly,Legal_Compliance,EXP202400044,paid
45,Office Chair,7294.23,INFRASTRUCTURE_INVESTMENT,Ergonomic furniture for employee well-being,2024-09-11,annual,Equipment,EXP202400045,paid
46,DigitalOcean,464.0,PLATFORM_SERVICES,PaaS for agile development,2024-07-22,monthly,Cloud_Services,EXP202400046,paid
47,Compliance Review,5508.99,COMPLIANCE_PROGRAM,Legal advice on client and supplier contracts,2024-09-16,annual,Legal_Compliance,EXP202400047,paid
48,Cyber Security Insurance,4192.95,BUSINESS_INSURANCE,Office and equipment insurance,2025-06-30,annual,Insurance,EXP202500048,paid
49,System Upgrade,1673.6,REPAIR_SERVICE,Technical support for specialized software,2025-04-01,divers,Maintenance,EXP202500049,paid
50,Technical Audit,5069.46,PROFESSIONAL_CONSULTING,Digital transformation support,2025-06-19,divers,Consulting,EXP202500050,paid
51,Contract Review,7705.38,LEGAL_CONSULTATION,Corporate status and governance review,2024-10-25,annual,Legal_Compliance,EXP202400051,paid
