expense_id,title,amount,label,comments,expense_date,type,category,expense_number,status
1,Téléphonie entreprise,1045.93,SERVICES_UTILITAIRES,Frais climatisation et chauffage,2025-07-03,mensuel,Services_Publiques,EXP202500001,paid
2,Écran de travail,1370.98,INVESTISSEMENT_INFRA,Renouvellement matériel IT,2024-12-28,annuel,Équipement,EXP202400002,paid
3,Célébration annuelle,1700.68,ACTIVITÉ_EQUIPE,Déjeuner mensuel du personnel,2024-12-23,divers,Divertissement,EXP202400003,paid
4,Microsoft 365,94.93,PLATEFORME_SAAS,Outil vidéo pour réunions clients,2025-07-13,mensuel,Abonnements,EXP202500004,paid
5,BambooHR,799.27,LOGICIEL_RH,Plateforme recrutement,2025-05-25,mensuel,Outils_RH,EXP202500005,paid
6,Équipement réseau,7364.6,INVESTISSEMENT_INFRA,Infrastructure réseau,2024-10-09,annuel,Équipement,EXP202400006,paid
7,GitHub Entreprise,364.16,ABONNEMENT_LOGICIEL,Plateforme collaborative équipes à distance,2025-03-07,mensuel,Abonnements,EXP202500007,paid
8,Licence Salesforce,24666.79,SUITE_LOGICIELLE,CRM pour suivi ventes,2025-01-05,annuel,Licences_Logicielles,EXP202500008,paid
9,Abonnement Internet,870.7,SERVICES_UTILITAIRES,Internet professionnel haut débit,2025-06-13,mensuel,Services_Publiques,EXP202500009,paid
10,Services Azure,1136.81,HÉBERGEMENT_CLOUD,Hébergement scalable,2025-02-22,mensuel,Services_Cloud,EXP202500010,paid
11,Transfert international,234.63,FRAIS_BANQUE,Change devises,2025-06-15,mensuel,Frais_Bancaires,EXP202500011,paid
12,Chauffage bureau,1107.14,SERVICES_UTILITAIRES,Internet professionnel haut débit,2025-02-08,mensuel,Services_Publiques,EXP202500012,paid
13,Power BI Pro,3941.3,LOGICIEL_PRO,CRM pour suivi ventes,2024-09-15,trimestriel,Licences_Logicielles,EXP202400013,paid
14,Microsoft 365,463.98,ABONNEMENT_LOGICIEL,Licences utilisateurs productivité,2024-11-08,mensuel,Abonnements,EXP202400014,paid
15,Téléphonie entreprise,1241.9,TÉLÉCOM,Frais climatisation et chauffage,2025-03-10,mensuel,Services_Publiques,EXP202500015,paid
16,Frais de transaction,996.27,FRAIS_BANQUE,Services carte entreprise,2024-10-22,mensuel,Frais_Bancaires,EXP202400016,paid
17,Frais tenue de compte,763.87,FRAIS_BANQUE,Commission transfert,2025-05-04,mensuel,Frais_Bancaires,EXP202500017,paid
18,Zoom Pro,548.95,OUTILS_NUMÉRIQUES,Plateforme collaborative équipes à distance,2024-10-02,mensuel,Abonnements,EXP202400018,paid
19,Conseil RH,8088.49,AVIS_PRO,Expertise technique,2024-11-19,divers,Conseil,EXP202400019,paid
20,Abonnement Internet,1023.6,SERVICES_UTILITAIRES,Internet professionnel haut débit,2024-09-24,mensuel,Services_Publiques,EXP202400020,unpaid
21,Workday,1136.9,OUTILS_RECRUTEMENT,Outil évaluation performance,2024-09-04,mensuel,Outils_RH,EXP202400021,unpaid
22,Cloudflare,1701.25,HÉBERGEMENT_CLOUD,Sécurité des données,2025-02-16,mensuel,Services_Cloud,EXP202500022,paid
23,Licence Windows Server,4127.42,LICENCE_ENTREPRISE,Outils décisionnels,2024-12-29,annuel,Licences_Logicielles,EXP202400023,paid
24,Chauffage bureau,1080.99,TÉLÉCOM,Internet professionnel haut débit,2025-04-09,mensuel,Services_Publiques,EXP202500024,paid
25,Facture électricité,261.64,SERVICES_UTILITAIRES,Frais climatisation et chauffage,2024-08-06,mensuel,Services_Publiques,EXP202400025,paid
26,Mise à niveau système,681.82,CONTRAT_ENTRETIEN,Maintenance préventive,2024-10-24,divers,Maintenance,EXP202400026,paid
27,Équipement réseau,3103.24,INVESTISSEMENT_INFRA,Infrastructure réseau,2024-12-04,annuel,Équipement,EXP202400027,paid
28,Assurance cybersécurité,9477.54,COUVERTURE_PRO,Assurance bureau,2024-12-02,annuel,Assurances,EXP202400028,paid
29,DigitalOcean,1530.58,INFRA_SAAS,Hébergement scalable,2025-06-06,mensuel,Services_Cloud,EXP202500029,paid
30,Abonnement Internet,597.49,TÉLÉCOM,Facture électricité bureau Casablanca,2025-02-08,mensuel,Services_Publiques,EXP202500030,paid
31,Power BI Pro,2536.73,LOGICIEL_PRO,CRM pour suivi ventes,2024-11-14,trimestriel,Licences_Logicielles,EXP202400031,paid
32,Équipement réseau,6011.27,INVESTISSEMENT_INFRA,Renouvellement matériel IT,2025-07-14,annuel,Équipement,EXP202500032,paid
