invoice_id,invoice_number,client_name,client_id,issue_date,due_date,payment_date,amount_ht,vat_rate,vat_amount,amount_ttc,currency,status,type,category,payment_method,notes,created_at,updated_at
1,INV-2025-1000,Traore SARL,115,2024-11-30,2025-01-24,2024-12-10,7441.35,5.5,409.27,7850.62,USD,paid,invoice,Development,bank_transfer,,2024-01-30,2024-10-17
2,INV-2025-1001,Labbé et Fils,288,2023-11-08,2023-11-25,2023-12-13,2264.52,0.0,0.0,2264.52,USD,paid_late,recurring,Hardware,check,,2025-06-15,2025-02-20
3,INV-2025-1002,David,175,2023-09-28,2023-10-13,2023-10-26,1680.63,20.0,336.13,2016.76,GBP,paid_late,credit_note,Hardware,paypal,,2023-08-16,2024-08-28
4,INV-2025-1003,Guilbert S.A.,414,2024-01-08,2024-02-16,2024-01-30,8490.19,10.0,849.02,9339.21,EUR,paid,recurring,Development,bank_transfer,Gens hors douleur soleil réalité circonstance gloire.,2024-02-24,2024-09-21
5,INV-2025-1004,Morin S.A.R.L.,296,2024-01-06,2024-02-14,2024-02-07,3002.46,10.0,300.25,3302.71,USD,paid,invoice,IT_Services,credit_card,Exister éteindre discours apprendre.,2024-07-14,2025-02-16
6,INV-2025-1005,Chevalier,143,2023-10-27,2023-11-16,,8678.19,20.0,1735.64,10413.83,CHF,overdue,proforma,Software,,,2024-09-24,2024-11-14
7,INV-2025-1006,Fischer Muller SA,312,2025-04-27,2025-05-25,2025-06-01,7048.02,0.0,0.0,7048.02,USD,paid_late,credit_note,Software,check,,2024-12-18,2024-10-19
8,INV-2025-1007,Rey SA,432,2025-03-14,2025-05-08,2025-04-11,2274.19,10.0,227.42,2501.61,EUR,paid,credit_note,IT_Services,paypal,,2024-05-14,2024-11-08
9,INV-2025-1008,Lemaître Monnier S.A.,109,2024-07-09,2024-07-28,2024-08-13,9434.81,10.0,943.48,10378.29,CHF,paid_late,recurring,Support,credit_card,,2024-12-25,2024-11-03
10,INV-2025-1009,Joubert Chauveau S.A.,460,2025-01-18,2025-02-17,2025-01-24,5435.88,20.0,1087.18,6523.06,CHF,paid,proforma,Hardware,credit_card,,2023-11-27,2025-01-18
11,INV-2025-1010,Pottier Germain SA,322,2024-05-12,2024-06-01,2024-06-07,8624.92,5.5,474.37,9099.29,USD,paid_late,recurring,Design,bank_transfer,,2024-01-17,2025-06-07
12,INV-2025-1011,Maréchal,349,2023-08-16,2023-10-08,,5338.23,0.0,0.0,5338.23,EUR,overdue,proforma,Training,,,2024-02-16,2024-08-17
13,INV-2025-1012,Lecomte,498,2024-01-02,2024-02-13,2024-02-26,132.13,10.0,13.21,145.34,USD,paid_late,invoice,Maintenance,direct_debit,,2024-12-14,2025-02-02
14,INV-2025-1013,Aubry Joly S.A.,307,2024-05-25,2024-06-18,2024-07-08,1699.34,0.0,0.0,1699.34,GBP,paid_late,recurring,IT_Services,bank_transfer,Masse quinze grandir nerveux exprimer vraiment champ.,2024-08-10,2024-08-27
15,INV-2025-1014,Brunet et Fils,44,2025-03-01,2025-04-04,2025-03-05,2484.63,0.0,0.0,2484.63,CHF,paid,invoice,Development,credit_card,,2023-11-25,2025-05-26
16,INV-2025-1015,Godard,494,2025-01-01,2025-02-15,,1734.76,20.0,346.95,2081.71,USD,overdue,credit_note,Maintenance,,,2023-09-11,2024-12-19
17,INV-2025-1016,Evrard,62,2024-05-14,2024-07-10,2024-07-10,4437.19,20.0,887.44,5324.63,USD,paid,credit_note,Consulting,paypal,,2024-02-04,2025-02-23
18,INV-2025-1017,Normand S.A.S.,363,2025-05-21,2025-07-10,2025-05-22,2280.15,0.0,0.0,2280.15,EUR,paid,credit_note,Consulting,bank_transfer,Regarder étage école cinq absence.,2025-02-03,2025-06-28
19,INV-2025-1018,Guillou Gautier et Fils,110,2025-01-31,2025-02-19,2025-02-25,2856.92,20.0,571.38,3428.3,USD,paid_late,recurring,Hardware,check,Selon livrer coucher faveur classe.,2025-03-19,2025-07-16
20,INV-2025-1019,Camus,217,2024-09-06,2024-10-03,2024-09-06,6623.93,10.0,662.39,7286.32,CHF,paid,recurring,IT_Services,bank_transfer,,2023-08-08,2024-09-04
21,INV-2025-1020,Le Gall,98,2025-07-13,2025-08-18,,1181.76,5.5,65.0,1246.76,CHF,unpaid,credit_note,Hosting,,,2024-01-25,2024-08-14
22,INV-2025-1021,Clément et Fils,414,2024-01-26,2024-03-10,2024-03-21,9240.33,20.0,1848.07,11088.4,EUR,paid_late,invoice,Development,bank_transfer,Rose vin marchand cela petit trop colline.,2024-09-05,2025-06-27
23,INV-2025-1022,Gimenez Faivre et Fils,443,2024-11-05,2024-12-05,2024-12-16,4907.85,5.5,269.93,5177.78,CHF,paid_late,invoice,Software,check,,2025-01-09,2024-10-09
24,INV-2025-1023,Leconte,147,2025-01-26,2025-03-06,2025-02-25,7862.3,20.0,1572.46,9434.76,CHF,paid,recurring,Software,credit_card,,2024-12-09,2024-12-15
25,INV-2025-1024,Mathieu,30,2024-06-27,2024-07-15,2024-08-09,5467.73,10.0,546.77,6014.5,EUR,paid_late,recurring,Development,direct_debit,,2024-02-01,2024-10-18
26,INV-2025-1025,Pruvost S.A.S.,346,2023-09-10,2023-10-27,2023-10-12,1939.67,0.0,0.0,1939.67,USD,paid,recurring,Consulting,direct_debit,,2024-01-18,2025-03-08
27,INV-2025-1026,Neveu et Fils,479,2024-01-10,2024-03-03,2024-01-10,911.64,10.0,91.16,1002.8,GBP,paid,credit_note,Training,credit_card,,2023-09-07,2024-10-20
28,INV-2025-1027,Guérin,476,2023-09-13,2023-10-06,2023-09-16,3069.97,10.0,307.0,3376.97,EUR,paid,invoice,Support,direct_debit,Demeurer plaire croix cerveau traîner morceau interrompre.,2025-03-24,2025-01-22
29,INV-2025-1028,Gauthier Pereira et Fils,68,2025-04-10,2025-05-01,2025-05-19,2210.23,10.0,221.02,2431.25,GBP,paid_late,invoice,Hardware,paypal,,2024-06-22,2024-12-07
30,INV-2025-1029,Bigot,342,2024-06-16,2024-07-29,,7065.05,0.0,0.0,7065.05,GBP,overdue,invoice,Software,,,2025-05-24,2025-05-02
31,INV-2025-1030,Antoine et Fils,310,2023-09-03,2023-09-24,2023-09-12,1638.93,10.0,163.89,1802.82,USD,paid,proforma,Hardware,paypal,,2024-04-12,2025-05-30
32,INV-2025-1031,Menard S.A.,325,2025-05-22,2025-06-22,,8476.43,0.0,0.0,8476.43,CHF,overdue,proforma,IT_Services,,,2023-12-18,2025-02-16
33,INV-2025-1032,Vidal,283,2024-07-05,2024-07-28,2024-07-18,2693.36,20.0,538.67,3232.03,CHF,paid,invoice,Consulting,bank_transfer,Inconnu songer avancer rire sien.,2023-10-08,2024-08-11
34,INV-2025-1033,Morin S.A.,299,2024-12-10,2025-02-07,,5501.34,10.0,550.13,6051.47,USD,overdue,recurring,Software,,,2023-11-30,2024-12-28
35,INV-2025-1034,Benoit,461,2024-08-03,2024-09-10,,7981.61,0.0,0.0,7981.61,GBP,overdue,credit_note,Hardware,,,2025-05-25,2024-12-25
36,INV-2025-1035,Gillet Bernard S.A.R.L.,499,2025-06-22,2025-07-29,2025-06-24,8852.93,20.0,1770.59,10623.52,USD,paid,credit_note,Software,credit_card,Tôt réponse drôle poussière prouver.,2025-03-23,2025-02-24
37,INV-2025-1036,Meyer,411,2024-12-18,2025-01-03,2025-01-21,9252.42,20.0,1850.48,11102.9,USD,paid_late,proforma,Software,bank_transfer,,2023-12-18,2024-11-15
38,INV-2025-1037,Delorme et Fils,180,2024-01-08,2024-01-25,,2302.09,20.0,460.42,2762.51,GBP,overdue,credit_note,Hardware,,,2024-09-17,2024-08-15
39,INV-2025-1038,Girard S.A.S.,496,2025-02-22,2025-03-21,2025-03-24,2858.17,0.0,0.0,2858.17,GBP,paid_late,proforma,Development,check,,2024-07-28,2025-02-03
40,INV-2025-1039,Boyer Grégoire SA,92,2025-07-06,2025-08-24,2025-07-18,373.25,10.0,37.33,410.58,GBP,paid,invoice,Consulting,direct_debit,,2025-05-15,2024-10-03
41,INV-2025-1040,Parent S.A.,198,2023-09-14,2023-10-19,2023-11-10,9843.93,0.0,0.0,9843.93,USD,paid_late,proforma,IT_Services,check,,2024-06-01,2024-09-07
42,INV-2025-1041,Delorme Valentin SA,187,2025-06-13,2025-08-01,2025-07-10,9408.6,5.5,517.47,9926.07,CHF,paid,invoice,Training,direct_debit,,2024-11-16,2024-08-24
43,INV-2025-1042,Bertin,342,2024-06-12,2024-07-04,2024-08-01,3073.19,10.0,307.32,3380.51,CHF,paid_late,proforma,Hosting,paypal,,2023-12-29,2025-04-09
44,INV-2025-1043,Aubry Delaunay S.A.,316,2025-01-29,2025-02-25,2025-02-28,9409.6,5.5,517.53,9927.13,GBP,paid_late,recurring,Development,bank_transfer,,2024-12-26,2025-03-30
45,INV-2025-1044,Hamel,239,2024-03-12,2024-04-09,2024-04-25,5841.85,10.0,584.18,6426.03,CHF,paid_late,recurring,Hardware,direct_debit,,2025-07-19,2024-08-20
46,INV-2025-1045,Legrand S.A.S.,48,2023-07-30,2023-08-24,2023-09-12,2909.49,10.0,290.95,3200.44,USD,paid_late,proforma,Hardware,credit_card,,2024-01-05,2025-02-04
47,INV-2025-1046,Muller,234,2024-02-13,2024-03-01,2024-02-19,4803.85,0.0,0.0,4803.85,CHF,paid,credit_note,Hosting,check,,2025-06-05,2024-10-26
