expense_id,title,amount,label,comments,expense_date,type,category,expense_number,status
1,Chauffage bureau,653.62,FRAIS_BUREAU,,2024-11-10,mensuel,Services_Publiques,EXP202400001,paid
2,Écran de travail,1423.08,INVESTISSEMENT_INFRA,Infrastructure réseau,2025-06-23,annuel,Équipement,EXP202500002,paid
3,Adobe Creative Cloud,532.48,PLATEFORME_SAAS,Plateforme collaborative équipes à distance,2025-04-29,mensuel,Abonnements,EXP202500003,paid
4,Cloudflare,1849.85,HÉBERGEMENT_CLOUD,,2024-10-17,mensuel,Services_Cloud,EXP202400004,paid
5,Mise à niveau système,886.97,CONTRAT_ENTRETIEN,,2024-10-18,divers,Maintenance,EXP202400005,paid
6,Frais de transaction,794.62,FRAIS_BANQUE,,2024-10-23,mensuel,Frais_Bancaires,EXP202400006,paid
7,Mise à niveau système,748.25,CONTRAT_ENTRETIEN,,2025-05-16,divers,Maintenance,EXP202500007,paid
8,Assurance responsabilité,11306.48,COUVERTURE_PRO,Responsabilité civile,2025-06-03,annuel,Assurances,EXP202500008,paid
9,GitHub Entreprise,166.99,ABONNEMENT_LOGICIEL,Outil vidéo pour réunions clients,2024-10-26,mensuel,Abonnements,EXP202400009,paid
10,Transfert international,711.27,FRAIS_BANQUE,,2024-08-05,mensuel,Frais_Bancaires,EXP202400010,paid
11,DigitalOcean,1814.98,HÉBERGEMENT_CLOUD,Hébergement scalable,2024-11-19,mensuel,Services_Cloud,EXP202400011,paid
12,Matériel d’impression,4478.16,INVESTISSEMENT_INFRA,Renouvellement matériel IT,2025-07-09,annuel,Équipement,EXP202500012,paid
13,Licence Salesforce,5110.07,SUITE_LOGICIELLE,,2025-06-01,annuel,Licences_Logicielles,EXP202500013,paid
14,Adobe Creative Cloud,622.42,PLATEFORME_SAAS,,2025-04-23,mensuel,Abonnements,EXP202500014,paid
15,Analyse métier,2536.08,AVIS_PRO,Accompagnement digital,2025-05-17,divers,Conseil,EXP202500015,paid
16,Transfert international,735.23,FRAIS_BANQUE,,2025-06-20,mensuel,Frais_Bancaires,EXP202500016,paid
17,Workday,842.15,OUTILS_RECRUTEMENT,,2024-10-07,mensuel,Outils_RH,EXP202400017,paid
18,Frais tenue de compte,989.52,FRAIS_BANQUE,Services carte entreprise,2024-10-26,mensuel,Frais_Bancaires,EXP202400018,paid
