INVOICE_ID,INVOICE_DATE,CLIENT_ID,CLIENT_TYPE,TOTAL_HT,MONTANT_TVA,AMOUNT_TTC,RAS_5P,RAS_TVA,AMOUNT_TO_PAY,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,PO,INVOICE_YEAR,STATUS,PAYMENT_DATE,INVOICE_NUMBER
4874,2024-10-23,90,PRIVE,4586.56,917.31,5503.87,0.0,0.0,5503.87,573.32,8,2024-10-23,2024-10-28,2024-12-14,Maintenance SaaS,PO-04767-PL,2024,PAID,2024-12-25,FAC-2024-00990
4875,2025-04-18,13,PUBLIC,9882.6,1976.52,11859.12,494.13,1482.39,9882.6,823.55,12,2025-04-20,2025-04-19,2025-06-14,Licence logicielle,PO-21295-Jy,2025,PAID,2025-06-01,FAC-2025-17154
4876,2025-06-13,3,PRIVE,2577.56,515.51,3093.07,0.0,0.0,3093.07,1288.78,2,2025-06-14,2025-06-17,2025-09-08,Maintenance SaaS,PO-78204-to,2025,PAID,2025-09-01,FAC-2025-73503
4877,2025-06-14,63,PUBLIC,2032.8,406.56,2439.36,101.64,304.92,2032.8,677.6,3,2025-06-14,,2025-07-27,Développement logiciel,PO-46713-WS,2025,PAID,2025-07-17,FAC-2025-39733
4879,2025-01-29,44,PUBLIC,3484.2,696.84,4181.04,174.21,522.63,3484.2,232.28,15,2025-01-31,2025-02-01,2025-03-08,Maintenance SaaS,PO-95233-En,2025,PAID,2025-02-23,FAC-2025-40476
4881,2024-11-27,86,PRIVE,7103.97,1420.79,8524.76,0.0,0.0,8524.76,789.33,9,2024-11-28,2024-12-02,2025-02-20,Consulting IT,PO-39238-BM,2024,PAID,2025-03-07,FAC-2024-45926
4882,2023-10-04,18,PUBLIC,9587.2,1917.44,11504.64,479.36,1438.08,9587.2,684.8,14,2023-10-05,2023-10-05,2023-11-03,Consulting IT,PO-60600-Du,2023,PAID,2023-10-21,FAC-2023-47079
4883,2023-12-09,1,PRIVE,1089.0,217.8,1306.8,0.0,0.0,1306.8,54.45,20,2023-12-09,2023-12-10,2024-02-01,Hébergement cloud,PO-54724-qs,2023,PAID,2024-02-01,FAC-2023-13621
4885,2024-07-05,16,PRIVE,1675.35,335.07,2010.42,0.0,0.0,2010.42,186.15,9,2024-07-06,2024-07-08,2024-09-16,Hébergement cloud,PO-88304-wV,2024,PAID,2024-09-19,FAC-2024-99557
4891,2025-01-11,31,PUBLIC,18040.68,3608.14,21648.82,902.03,2706.1,18040.69,1288.62,14,2025-01-13,2025-01-13,2025-03-03,Licence logicielle,PO-91255-KR,2025,PAID,2025-02-18,FAC-2025-30142
