expense_id,title,amount,label,comments,expense_date,type,category,expense_number,status
1,Workday,371.17,OUTILS_RECRUTEMENT,Formation continue en ligne,2025-05-26,mensuel,Outils_RH,EXP202500001,paid
2,GitHub Entreprise,686.83,ABONNEMENT_LOGICIEL,Outil vidéo pour réunions clients,2025-06-07,mensuel,Abonnements,EXP202500002,paid
3,Mise à niveau système,2241.42,CONTRAT_ENTRETIEN,Réparation équipement,2024-12-20,divers,Maintenance,EXP202400003,paid
4,Licence SAP,9843.78,SUITE_LOGICIELLE,Base données projets clients,2024-10-10,annuel,Licences_Logicielles,EXP202400004,paid
5,Événement de cohésion,801.19,ACTIVITÉ_EQUIPE,Déjeuner mensuel du personnel,2024-09-13,divers,Divertissement,EXP202400005,paid
6,Services Azure,316.34,HÉBERGEMENT_CLOUD,Hébergement scalable,2025-03-10,mensuel,Services_Cloud,EXP202500006,paid
7,Révision contrat,2130.52,PROGRAMME_CONFORMITÉ,Revue gouvernance,2025-04-03,annuel,Juridique_Conformité,EXP202500007,paid
8,Réparation matériel,2987.21,CONTRAT_ENTRETIEN,Contrat maintenance systèmes,2025-02-01,divers,Maintenance,EXP202500008,paid
9,Célébration annuelle,834.26,ÉVÉNEMENT_ENTREPRISE,Déjeuner mensuel du personnel,2025-03-12,divers,Divertissement,EXP202500009,paid
10,BambooHR,1097.65,OUTILS_RECRUTEMENT,Outil évaluation performance,2024-12-14,mensuel,Outils_RH,EXP202400010,paid
11,LinkedIn Recruiter,802.83,OUTILS_RECRUTEMENT,Outil évaluation performance,2025-02-09,mensuel,Outils_RH,EXP202500011,paid
12,Facture électricité,247.23,TÉLÉCOM,Facture électricité bureau Casablanca,2024-11-14,mensuel,Services_Publiques,EXP202400012,paid
13,Fête d’entreprise,344.12,ÉVÉNEMENT_ENTREPRISE,Déjeuner mensuel du personnel,2025-06-14,divers,Divertissement,EXP202500013,paid
14,Google Cloud Platform,1717.5,HÉBERGEMENT_CLOUD,Sécurité des données,2025-07-13,mensuel,Services_Cloud,EXP202500014,paid
15,Téléphonie entreprise,1376.91,TÉLÉCOM,Frais climatisation et chauffage,2024-08-14,mensuel,Services_Publiques,EXP202400015,paid
16,Licence Windows Server,2056.16,LOGICIEL_PRO,CRM pour suivi ventes,2024-09-17,trimestriel,Licences_Logicielles,EXP202400016,paid
17,Frais de change,248.11,FRAIS_BANQUE,Frais de compte,2024-11-02,mensuel,Frais_Bancaires,EXP202400017,paid
18,Slack Premium,244.92,ABONNEMENT_LOGICIEL,Plateforme collaborative équipes à distance,2024-10-19,mensuel,Abonnements,EXP202400018,paid
19,Chaise ergonomique,4384.12,ACHAT_ÉQUIPEMENT,Infrastructure réseau,2024-09-11,divers,Équipement,EXP202400019,paid
20,Licence Windows Server,9011.64,SUITE_LOGICIELLE,Licence serveur IT,2024-08-12,annuel,Licences_Logicielles,EXP202400020,paid
21,Licence Windows Server,17045.74,SUITE_LOGICIELLE,Licence serveur IT,2024-09-16,annuel,Licences_Logicielles,EXP202400021,paid
