expense_id,title,amount,label,comments,expense_date,type,category,expense_number,status
1,Logiciel ATS,337.81,LOGICIEL_RH,Outil évaluation performance,2025-04-11,mensuel,Outils_RH,EXP202500001,paid
2,Papeterie,357.37,MATÉRIEL_BUREAU,Papeterie et matériel,2025-02-27,divers,Fournitures_Bureau,EXP202500002,paid
3,Fournitures café,312.19,MATÉRIEL_BUREAU,Produits hygiène,2025-05-17,divers,Fournitures_Bureau,EXP202500003,paid
4,Cloudflare,1574.34,INFRA_SAAS,,2024-08-18,mensuel,Services_Cloud,EXP202400004,paid
5,Développement compétences,2782.23,ATELIER,,2025-06-23,trimestriel,Formations,EXP202500005,paid
6,Power BI Pro,12223.53,SUITE_LOGICIELLE,Outils décisionnels,2025-03-02,annuel,Licences_Logicielles,EXP202500006,paid
7,Service bancaire,685.29,FRAIS_BANQUE,Commission transfert,2024-08-22,mensuel,Frais_Bancaires,EXP202400007,paid
8,Consultation juridique,5369.99,PROGRAMME_CONFORMITÉ,,2024-12-31,annuel,Juridique_Conformité,EXP202400008,paid
9,Audit de conformité,11556.74,PROGRAMME_CONFORMITÉ,Revue gouvernance,2024-11-13,annuel,Juridique_Conformité,EXP202400009,paid
10,Licence Windows Server,21139.5,SUITE_LOGICIELLE,CRM pour suivi ventes,2024-09-08,annuel,Licences_Logicielles,EXP202400010,paid
11,Assurance bureau,10749.94,COUVERTURE_PRO,Protection juridique,2024-10-17,annuel,Assurances,EXP202400011,paid
12,Outil Performance,1197.13,OUTILS_RECRUTEMENT,Système RH intégré,2024-12-21,mensuel,Outils_RH,EXP202400012,paid
13,Téléphonie entreprise,657.11,SERVICES_UTILITAIRES,Facture électricité bureau Casablanca,2025-06-07,mensuel,Services_Publiques,EXP202500013,paid
14,Assurance cybersécurité,8619.46,COUVERTURE_PRO,Responsabilité civile,2024-12-17,annuel,Assurances,EXP202400014,paid
15,Hébergement AWS,1871.85,INFRA_SAAS,,2025-06-09,mensuel,Services_Cloud,EXP202500015,paid
16,Transfert international,554.37,FRAIS_BANQUE,,2025-06-07,mensuel,Frais_Bancaires,EXP202500016,paid
17,Licence Windows Server,20372.54,LICENCE_ENTREPRISE,Licence serveur IT,2024-09-15,annuel,Licences_Logicielles,EXP202400017,paid
18,Location de voiture,315.36,CONFÉRENCE_PRO,Formation/conférence,2024-12-18,divers,Déplacements,EXP202400018,paid
19,Frais de transaction,507.9,FRAIS_BANQUE,,2025-02-15,mensuel,Frais_Bancaires,EXP202500019,paid
20,Audit technique,9463.26,AVIS_PRO,,2024-08-20,divers,Conseil,EXP202400020,paid
21,Workday,360.05,LOGICIEL_RH,Plateforme recrutement,2025-01-30,mensuel,Outils_RH,EXP202500021,paid
22,Équipement réseau,3354.81,INVESTISSEMENT_INFRA,,2024-11-06,annuel,Équipement,EXP202400022,paid
23,Réparation matériel,2100.98,CONTRAT_ENTRETIEN,,2025-02-01,divers,Maintenance,EXP202500023,paid
24,Frais tenue de compte,220.11,FRAIS_BANQUE,,2025-04-27,mensuel,Frais_Bancaires,EXP202500024,paid
25,Licence Salesforce,13374.91,SUITE_LOGICIELLE,Outils décisionnels,2024-09-12,annuel,Licences_Logicielles,EXP202400025,paid
26,Équipement réseau,1507.32,INVESTISSEMENT_INFRA,,2025-07-21,annuel,Équipement,EXP202500026,paid
